City,Country,lat,lng,Population,Population_Density,Continent,Private_energy_use
Atlanta,United States,33.7627,-84.4224,5449398,1072.083022,Americas,75061
Berlin,Germany,52.5167,13.3833,3644826,3704.091463,Europe,11078
Brisbane,Australia,-27.4678,153.0281,2514184,1568.424205,Oceania,39880
Brussels,Belgium,50.8333,4.3333,1743000,2448.033708,Europe,9299
Calgary,Canada,51.05,-114.0667,1239220,1765.270655,Americas,38679
Chicago,United States,41.8373,-87.6862,8604203,1564.969625,Americas,43722
Copenhagen,Denmark,55.6761,12.5689,602481,738.3345588,Europe,16843
Denver,United States,39.7621,-104.8759,2876625,2226.489938,Americas,56252
Frankfurt,Germany,50.1136,8.6797,753056,765.300813,Europe,18992
Hamburg,Germany,53.55,10,1841179,2220.963812,Europe,16740
Helsinki,Finland,60.1756,24.9342,642045,1340.386221,Europe,11463
Houston,United States,29.7863,-95.3889,5464251,1628.688823,Americas,56331
Los Angeles,United States,34.1139,-118.4068,12750807,2951.575694,Americas,47978
Madrid,Spain,40.4167,-3.7167,6026000,6376.719577,Europe,12072
Melbourne,Australia,-37.8136,144.9631,5078193,2441.438942,Oceania,33633
Munich,Germany,48.1372,11.5755,1471508,2840.749035,Europe,16205
Perth,Australia,-31.9522,115.8589,2059484,2136.394191,Oceania,38646
Portland,United States,45.5372,-122.65,2074775,1689.556189,Americas,46559
San Diego,United States,32.8312,-117.1225,3220118,1589.396841,Americas,58302
Seattle,United States,47.6211,-122.3244,3789215,1534.095142,Americas,54593
Stockholm,Sweden,59.3294,18.0686,972647,1877.696911,Europe,19111
Stuttgart,Germany,48.7761,9.1775,634830,1533.405797,Europe,19254
Sydney,Australia,-33.865,151.2094,5312163,3148.881446,Oceania,31701
Toronto,Canada,43.7417,-79.3733,5429524,3280.679154,Americas,39743
Vancouver,Canada,49.25,-123.1,2264823,2022.163393,Americas,24664
Vienna,Austria,48.2083,16.3731,1911191,4218.96468,Europe,12314
Washington,United States,38.9047,-77.0163,5379184,1795.455274,Americas,59124
Singapore,Singapore,1.3,103.8,5745000,11993.73695,Asia,7930
