Name,Area,avg_price,Region
Canterbury,Suburb,2359140.821,Southern Metropolitan
Middle Park,Suburb,2269616.018,Southern Metropolitan
Malvern,Suburb,2006118.364,Southern Metropolitan
Albert Park,Suburb,2000214.673,Southern Metropolitan
Brighton,Suburb,1993757.617,Southern Metropolitan
Boroondara,Council Area,1740830.23,Southern Metropolitan
Bayside,Council Area,1679345.1,Southern Metropolitan
Stonnington,Council Area,1468179.45,Southern Metropolitan
Whitehorse,Council Area,1315626.77,Southern Metropolitan
Manningham,Council Area,1227874.495,Eastern Metropolitan
